name,ev_yield,sprite_img,link,dex_no
bulbasaur,1 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,https://pokemondb.net/pokedex/bulbasaur,1
ivysaur,1 Special Attack/ 1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,https://pokemondb.net/pokedex/ivysaur,2
venusaur,2 Special Attack/ 1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,https://pokemondb.net/pokedex/venusaur,3
charmander,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,https://pokemondb.net/pokedex/charmander,4
charmeleon,1 Special Attack/ 1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,https://pokemondb.net/pokedex/charmeleon,5
charizard,3 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,https://pokemondb.net/pokedex/charizard,6
squirtle,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,https://pokemondb.net/pokedex/squirtle,7
wartortle,1 Defense/ 1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,https://pokemondb.net/pokedex/wartortle,8
blastoise,3 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,https://pokemondb.net/pokedex/blastoise,9
caterpie,1 HP,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,https://pokemondb.net/pokedex/caterpie,10
metapod,2 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,https://pokemondb.net/pokedex/metapod,11
butterfree,2 Special Attack/ 1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,https://pokemondb.net/pokedex/butterfree,12
weedle,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,https://pokemondb.net/pokedex/weedle,13
kakuna,2 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,https://pokemondb.net/pokedex/kakuna,14
beedrill,2 Attack/ 1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,https://pokemondb.net/pokedex/beedrill,15
pidgey,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,https://pokemondb.net/pokedex/pidgey,16
